,rgdp,gdp,rcons,rgovt,rinv,potential
1947-01-01,1770.7,237.2,1130.9,407.250,188.675,
1947-04-01,1768,240.4,1149.7,409.821,173.485,
1947-07-01,1766.5,244.5,1153.4,413.577,167.924,
1947-10-01,1793.3,254.3,1153.8,407.464,202.712,
1948-01-01,1821.8,260.3,1159.6,415.526,224.682,
1948-04-01,1855.3,267.3,1173.0,435.526,239.489,
1948-07-01,1865.3,273.8,1174.8,444.004,242.053,
1948-10-01,1868.2,275.1,1184.1,462.670,230.008,
1949-01-01,1842.2,269.9,1186.0,475.894,194.233,1867
1949-04-01,1835.5,266.2,1204.1,497.437,167.057,1885.3
1949-07-01,1856.1,267.6,1206.9,502.434,181.690,1903.9
1949-10-01,1838.7,265.2,1224.5,491.757,171.768,1922.9
1950-01-01,1913,275.2,1244.9,483.529,214.858,1942.5
1950-04-01,1971.2,284.5,1265.4,491.441,238.901,1962.9
1950-07-01,2048.4,301.9,1330.3,482.007,260.418,1984.1
1950-10-01,2084.4,313.3,1290.2,512.730,295.027,2006
1951-01-01,2110.7,329,1321.4,567.536,263.917,2029.1
1951-04-01,2145.7,336.6,1284.1,645.583,270.439,2053.4
1951-07-01,2188.5,343.5,1299.1,718.824,249.543,2078.3
1951-10-01,2192.2,347.9,1306.7,758.918,228.293,2103.4
1952-01-01,2214.3,351.2,1309.6,782.406,233.627,2128.4
1952-04-01,2216.7,352.1,1335.3,808.945,214.227,2153.1
1952-07-01,2231.6,358.5,1341.8,816.954,225.626,2177.3
1952-10-01,2305.3,371.4,1389.2,831.599,241.811,2200.9
1953-01-01,2348.4,378.4,1405.7,859.809,246.627,2223.2
1953-04-01,2366.2,382,1414.2,878.735,247.460,2244.5
1953-07-01,2351.8,381.1,1411.0,868.116,241.654,2265
1953-10-01,2314.6,375.9,1401.6,865.402,222.626,2284.8
1954-01-01,2303.5,375.2,1406.7,842.247,220.749,2303.9
1954-04-01,2306.4,376,1425.0,812.452,219.991,2322
1954-07-01,2332.4,380.8,1444.4,792.850,231.237,2339.6
1954-10-01,2379.1,389.4,1474.7,788.035,241.873,2357.1
1955-01-01,2447.7,402.6,1507.8,787.078,267.675,2374.9
1955-04-01,2488.1,410.9,1536.6,779.260,284.591,2393.1
1955-07-01,2521.4,419.4,1555.6,784.005,288.662,2411.8
1955-10-01,2535.5,426,1575.2,767.012,294.916,2430.9
1956-01-01,2523.9,428.3,1577.8,766.577,284.997,2451.2
1956-04-01,2543.8,434.2,1583.0,782.653,281.763,2472
1956-07-01,2540.6,439.2,1586.6,775.255,278.458,2493.3
1956-10-01,2582.1,448.1,1608.4,795.400,275.169,2515.2
1957-01-01,2597.9,457.2,1619.5,811.741,270.733,2537.3
1957-04-01,2591.7,459.2,1622.4,806.694,270.368,2560.4
1957-07-01,2616.6,466.4,1635.3,812.879,276.824,2583.9
1957-10-01,2589.1,461.5,1636.1,827.672,253.694,2607.6
1958-01-01,2519,453.9,1613.9,818.432,234.847,2631.6
1958-04-01,2534.5,458,1627.1,838.936,229.288,2655
1958-07-01,2593.9,471.7,1653.8,844.166,248.199,2678.5
1958-10-01,2654.3,485,1675.6,862.177,270.587,2702
1959-01-01,2708,495.5,1706.7,856.586,285.852,2725.2
1959-04-01,2776.4,508.5,1732.9,869.650,309.726,2749
1959-07-01,2773.1,509.3,1751.0,880.597,288.171,2773.2
1959-10-01,2782.8,513.2,1752.9,871.003,298.264,2798
1960-01-01,2845.3,527,1769.7,853.854,330.513,2824.2
1960-04-01,2832,526.2,1792.1,860.777,297.065,2851.2
1960-07-01,2836.6,529,1785.0,881.521,295.294,2878.7
1960-10-01,2800.2,523.7,1787.4,887.665,258.817,2906.7
1961-01-01,2816.9,528,1786.9,899.280,265.434,2934.8
1961-04-01,2869.6,539,1813.4,901.432,285.203,2962.9
1961-07-01,2915.9,549.5,1822.2,919.102,309.097,2991.3
1961-10-01,2975.3,562.6,1858.7,939.306,314.313,3019.9
1962-01-01,3028.7,576.1,1878.5,955.925,333.053,3048.7
1962-04-01,3062.1,583.2,1901.6,961.108,329.832,3078
1962-07-01,3090.4,590,1917.0,982.989,335.734,3107.7
1962-10-01,3097.9,593.3,1944.2,984.407,324.463,3137.7
1963-01-01,3138.4,602.5,1957.3,978.412,342.468,3168.4
