,nikkei225,topix,indprod,exrate,cpi,saunemp,intrate
Jan-75,3767.09,276.09,47.33,29.13,52.625,1.7,12.67
Feb-75,4100.97,299.81,46.86,29.7,52.723,1.8,13
Mar-75,4300.08,313.5,46.24,29.98,53.114,1.8,12.92
Apr-75,4435.26,320.57,47.33,29.8,54.092,1.8,12.02
May-75,4506.24,329.65,47.33,29.79,54.385,1.8,11.06
Jun-75,4489.48,327.74,47.8,29.6,54.385,1.8,10.72
Jul-75,4389.93,323.47,48.27,29.94,54.483,1.8,11
Aug-75,4184.62,309.81,48.27,30.29,54.385,1.9,10.69
Sep-75,3961.55,299.07,48.67,30.34,55.559,2,9.67
Oct-75,4204.87,308.57,48.82,30.01,56.440,2.1,8.73
Nov-75,4313.32,315.79,48.04,29.99,56.146,2.1,7.61
Dec-75,4263.24,315.91,49.06,29.83,56.146,2.1,7.96
Jan-76,4578.47,337.33,49.93,29.91,57.222,2.1,7.28
Feb-76,4561.83,336.89,51.18,30.25,57.613,2,7
Mar-76,4605.28,341.6,51.97,30.68,57.809,2,7
Apr-76,4523.86,334.41,52.67,31.02,59.178,2.1,6.75
May-76,4611.2,341.17,52.52,31.12,59.472,2.1,6.75
Jun-76,4728.44,352.54,53.46,31.21,59.570,2,6.9
Jul-76,4751.61,351.37,53.93,31.7,59.863,2,7.08
Aug-76,4709.35,355.16,54.08,32.03,59.570,2,7.25
Sep-76,4738.4,354.88,54.01,32.35,61.037,2,7.05
Oct-76,4703.91,351.59,54.01,32,61.330,2,6.77
Nov-76,4544.39,346.93,54.79,31.55,61.330,2,6.77
Dec-76,4760.26,364.87,55.02,31.62,62.113,1.8,7.11
Jan-77,4995.42,379.53,55.49,31.99,62.602,1.9,7
Feb-77,5044.16,380.55,54.71,32.74,62.993,2,7
Mar-77,5008.38,376.92,55.49,33.27,63.287,2,6.69
Apr-77,5022.39,374.55,55.18,33.9,64.363,1.9,5.87
May-77,5053.4,378.9,54.95,33.55,64.950,2.1,5.18
Jun-77,4969.15,376.04,55.42,34.11,64.656,2.1,5.48
Jul-77,4975.5,375.06,54.32,35.05,64.558,2.1,5.66
Aug-77,5148.68,380.99,55.49,34.95,64.656,2,5.75
Sep-77,5218.38,387.65,55.49,34.97,65.634,2,4.98
Oct-77,5155.33,380.98,55.02,36.43,66.123,1.9,4.92
Nov-77,4898.01,367.2,56.12,37.74,65.341,2,4.62
Dec-77,4867.51,362.68,56.51,37.84,65.243,2.1,5.01
Jan-78,5018.45,374.29,57.06,37.49,65.439,2.1,4.79
Feb-78,5133.8,384.47,56.67,37.52,65.830,2.2,4.8
Mar-78,5273.94,397.03,57.92,38.82,66.417,2.2,4.62
Apr-78,5501.6,410.48,57.92,40.63,67.101,2.2,4.14
May-78,5470.78,409.68,58.08,40.16,67.493,2.3,4.06
Jun-78,5493.94,412.07,58.39,42.22,67.199,2.3,4.11
Jul-78,5600.42,422.56,58.79,44.84,67.493,2.2,4.44
Aug-78,5524.19,419.87,59.57,47.06,67.591,2.3,4.39
Sep-78,5663.91,427.97,60.04,46.43,68.275,2.4,4.25
Oct-78,5818.65,436.1,60.12,47.06,68.471,2.2,4.18
Nov-78,5946.65,440.34,60.43,45.9,67.786,2.2,3.93
Dec-78,6006.49,446.92,60.98,44.62,67.688,2.2,4.57
Jan-79,6122.51,459.51,60.9,44.04,67.786,2.2,4.29
Feb-79,6102.68,452.7,60.82,43.51,67.591,2,4.35
Mar-79,6055.73,447.78,61.37,42.28,68.275,2.1,4.64
Apr-79,6091.49,444.66,61.61,40.45,69.058,2.1,4.89
May-79,6285.35,453.71,62.94,40.24,69.645,2,5.12
Jun-79,6190.52,444.27,63.17,39.91,69.742,2,5.34
Jul-79,6229.09,442.39,63.64,39.74,70.427,2.2,5.8
Aug-79,6402.17,450.3,64.59,39.53,69.645,2.2,6.69
Sep-79,6458.28,455.33,63.41,38.59,70.525,2,6.81
Oct-79,6434.37,450.66,64.74,37.35,71.405,2.1,6.74
Nov-79,6395.81,445.45,65.53,35.15,71.112,2.1,7.58
Dec-79,6499.92,453.45,65.29,35.41,71.601,2,8.05
Jan-80,6668.92,463.8,65.76,35.65,72.286,1.9,8.06
Feb-80,6789.35,469.7,68.19,34.88,72.873,1.9,8.74
Mar-80,6604.43,455.85,66.39,35.03,73.264,1.9,10.73
Apr-80,6760.44,460.95,67.56,34.78,74.633,2,12.21
May-80,6802.23,466.92,67.09,37.56,75.220,2,12.56
Jun-80,6821.23,467.89,66.39,39.1,75.514,1.9,12.64
Jul-80,6808.47,469.2,66.31,38.41,75.611,2,12.7
Aug-80,6835.35,473.65,64.35,38.12,75.416,2.1,12.09
Sep-80,6983.98,483.22,65.37,39.8,76.687,2,11.4
Oct-80,7137.86,494.11,65.76,41.22,76.883,2.1,11.04
Nov-80,7148.22,494.3,64.9,41.13,76.981,2.2,9.5
Dec-80,7081.38,489.74,65.84,42.27,76.785,2.2,9.49
Jan-81,7249.93,505.68,65.92,44.09,77.568,2.1,8.91
Feb-81,7193.89,505.87,65.68,44.46,77.470,2.3,8.6
Mar-81,7165.37,515.78,65.92,43.84,77.666,2.2,8.04
Apr-81,7497.89,546.03,65.92,43.04,78.350,2.2,7.19
May-81,7494.2,554.96,64.9,43.01,79.035,2.3,7.06
Jun-81,7615.9,568.67,66.54,43.02,79.133,2.3,7.12
Jul-81,7852.4,590,67.09,42.14,78.937,2.2,7.26
Aug-81,7904.19,596.74,66.86,42.33,78.546,2.1,7.24
Sep-81,7517,564.58,67.96,42.13,79.817,2.2,7.26
Oct-81,7374.62,545.04,68.35,41.46,80.013,2.2,7.05
Nov-81,7582.23,558.1,68.35,42.61,79.915,2.2,6.8
Dec-81,7681.18,566.1,68.11,43.79,80.013,2.2,6.7
Jan-82,7758.79,572.84,67.72,43,80.013,2.2,6.58
Feb-82,7720.63,570.7,67.25,41.67,79.915,2.2,6.58
Mar-82,7190.42,536.85,67.96,41.05,80.013,2.3,6.68
Apr-82,7280.84,534.98,67.01,40.66,80.600,2.3,7.16
May-82,7490.35,555.72,66.39,41.52,80.991,2.3,7.17
Jun-82,7211.08,540.55,67.25,40.15,80.991,2.4,7.19
Jul-82,7146.14,530.85,67.09,39.84,80.502,2.4,7.19
Aug-82,7041.95,523.53,67.17,39.41,81.089,2.3,7.18
Sep-82,7085.36,531.75,67.48,39.04,82.263,2.4,6.99
Oct-82,7238.2,541.43,65.53,38.12,82.556,2.5,6.92
Nov-82,7707.53,566.04,67.17,39.38,81.774,2.4,6.68
Dec-82,7921.08,583.09,66.47,42.34,81.676,2.5,6.92
Jan-83,8030.62,588.77,67.01,43.92,81.774,2.7,6.64
Feb-83,8043.77,585.86,66.78,43.69,81.480,2.7,6.57
Mar-83,8176.06,601.16,67.72,43.65,81.969,2.6,6.69
Apr-83,8531.88,618.29,67.72,43.96,82.263,2.7,6.3
May-83,8625.08,633.3,68.03,44.61,83.143,2.7,6.08
Jun-83,8662.74,644.5,68.74,44.16,82.654,2.6,6.2
Jul-83,8976.72,661.54,68.5,44.39,82.263,2.6,6.39
Aug-83,9057.77,669.89,70.07,44.25,82.067,2.8,6.46
Sep-83,9293.25,684.49,71.01,44.57,83.045,2.7,6.53
Oct-83,9385.15,686.21,70.7,46.08,83.730,2.6,6.43
Nov-83,9345.37,686.46,71.4,46.15,83.339,2.6,5.99
Dec-83,9550.51,705.43,72.34,46.86,83.045,2.6,6.44
Jan-84,10089.43,759.63,72.89,47.38,83.339,2.7,6.05
Feb-84,10009.59,772.6,74.69,46.78,83.828,2.7,6.04
Mar-84,10348.16,813.28,74.07,47.83,84.024,2.7,6.45
Apr-84,10914.6,857,73.83,48.31,84.121,2.7,5.88
May-84,10496.58,822.35,75.16,47.91,84.806,2.7,5.74
Jun-84,10215.78,785.77,75.64,47.43,84.121,2.8,5.91
Jul-84,10152.47,774.56,75.64,46.44,84.317,2.8,6.03
Aug-84,10422.02,804.81,76.73,46.77,83.632,2.7,6.11
Sep-84,10569.76,815.76,75.64,47.11,84.904,2.7,6.32
Oct-84,10870.36,840,77.83,47.19,85.589,2.7,6.15
Nov-84,11258.77,855.83,77.83,47.33,85.099,2.7,6.1
